Time,Channel A
(ms),(mV)

17.84319989,-5.60319800
17.84831989,3.67442800
17.85343989,-0.03662221
17.85855989,1.81890300
17.86367989,7.38547900
17.86879989,-3.74767300
17.87391989,1.81890300
17.87903989,-1.89214800
17.88415989,-1.89214800
17.88927989,9.24100500
17.89439989,-0.03662221
17.89951989,3.67442800
17.90463989,5.52995400
17.90975989,-5.60319800
17.91487989,-7.45872400
17.91999989,-0.03662221
17.92511989,5.52995400
17.93023989,1.81890300
17.93535989,5.52995400
17.94047989,1.81890300
17.94559989,-3.74767300
17.95071989,-0.03662221
17.95583989,-1.89214800
17.96095989,-0.03662221
17.96607989,5.52995400
17.97119989,5.52995400
17.97631989,1.81890300
17.98143989,-5.60319800
17.98655989,-5.60319800
17.99167989,-0.03662221
17.99679989,-0.03662221
18.00191989,5.52995400
18.00703989,1.81890300
18.01215989,1.81890300
18.01727989,1.81890300
18.02239989,-1.89214800
18.02751989,-5.60319800
18.03263989,3.67442800
18.03775989,-1.89214800
18.04287989,5.52995400
18.04799989,3.67442800
18.05311989,1.81890300
18.05823989,-9.31424900
18.06335989,-1.89214800
18.06847989,1.81890300
18.07359989,-0.03662221
18.07871989,5.52995400
18.08383989,1.81890300
18.08895989,-1.89214800
18.09407989,-0.03662221
18.09919989,-1.89214800
18.10431989,-1.89214800
18.10943989,5.52995400
18.11455989,1.81890300
18.11967989,1.81890300
18.12479989,-1.89214800
18.12991989,-7.45872400
18.13503989,-7.45872400
18.14015989,-0.03662221
18.14527989,5.52995400
18.15039989,-0.03662221
18.15551989,3.67442800
18.16063989,3.67442800
18.16575989,-1.89214800
18.17087989,-1.89214800
18.17599989,-0.03662221
18.18111989,-0.03662221
18.18623989,1.81890300
18.19135989,7.38547900
18.19647989,-0.03662221
18.20159989,-3.74767300
18.20671989,-3.74767300
18.21183989,-1.89214800
18.21695989,1.81890300
18.22207989,5.52995400
18.22719989,1.81890300
18.23231989,5.52995400
18.23743989,-1.89214800
18.24255989,-5.60319800
18.24767989,1.81890300
18.25279989,-1.89214800
18.25791989,1.81890300
18.26303989,-0.03662221
18.26815989,5.52995400
18.27327989,-1.89214800
18.27839989,-11.16978000
18.28351989,5.52995400
18.28863989,-1.89214800
18.29375989,-1.89214800
18.29887989,11.09653000
18.30399989,-0.03662221
18.30911989,-1.89214800
18.31423989,-5.60319800
18.31935989,1.81890300
18.32447989,-0.03662221
18.32959989,-1.89214800
18.33471989,7.38547900
18.33983989,1.81890300
18.34495989,-0.03662221
18.35007989,-7.45872400
18.35519989,-1.89214800
18.36031989,-0.03662221
18.36543989,1.81890300
18.37055989,1.81890300
18.37567989,5.52995400
18.38079989,1.81890300
18.38591989,-3.74767300
18.39103989,-1.89214800
18.39615989,-1.89214800
18.40127989,5.52995400
18.40639989,-0.03662221
18.41151989,3.67442800
18.41663989,1.81890300
18.42175989,-7.45872400
18.42687989,-5.60319800
18.43199989,-1.89214800
